m, wheta-10t2.0
-1.0, 8.449823652737737e-5
-0.8, 0.0001433041902197248
-0.6, 0.0002547066977903281
-0.4, 0.0004781734875824089
-0.2, 0.0009527725932753861
-0.1, 0.001373079348487976
-0.01, 0.0019249154827857633
0.01, 0.04691915672508195
0.05, 0.435169712446536
0.055, 0.47336510444148017
0.06, 0.5045853595260253
0.065, 0.5307340467291893
0.07, 0.5531235868420475
0.075, 0.5726564862438837
0.08, 0.5899642155435914
0.085, 0.6054989520971037
0.09, 0.6195922698646978
0.095, 0.6324928222190127
0.1, 0.644390938672637
0.105, 0.6554350180315224
0.11, 0.6657426940545629
0.115, 0.6754086029678189
0.12, 0.6845098956944068
0.125, 0.6931102225912616
0.13, 0.7012626634521982
0.135, 0.7090119159195921
0.14, 0.7163959536277098
0.15, 0.7301940136092804
0.16, 0.7428679875049651
0.17, 0.7545789531276215
0.18, 0.7654526280732685
0.19, 0.7755890933048578
0.2, 0.7850694195272275
0.21, 0.793960302714133
0.22, 0.8023173819382249
0.23, 0.8101876622892235
0.24, 0.8176113159805962
0.25, 0.8246230425189535
0.26, 0.8312531104370787
0.27, 0.837528165242707
0.28, 0.8434718631529823
0.29, 0.8491053732329503
0.3, 0.8544477788904845
0.31, 0.8595164015209009
0.32, 0.8643270633002827
0.33, 0.8688943019556158
0.34, 0.8732315472988046
0.35, 0.8773512670685443
0.36, 0.8812650879512981
0.37, 0.884983896393121
0.38, 0.8885179228562299
0.39, 0.891876812440174
0.4, 0.8950696842195269
0.41, 0.8981051812077707
0.42, 0.9009915125092769
0.43, 0.9037364889467626
0.44, 0.9063475532321218
0.45, 0.9088318055725838
0.46, 0.9111960254609097
0.47, 0.9134466902823966
0.48, 0.915589991274248
0.49, 0.917631847293372
0.5, 0.9195779167805632
0.51, 0.9214336082520412
0.52, 0.9232040895999578
0.53, 0.9248942964404305
0.54, 0.9265089397115226
0.55, 0.9280525126895749
0.56, 0.929529297564965
0.57, 0.9309433716920202
0.58, 0.9322986136059931
0.59, 0.9335987088799934
0.6, 0.934847155878233
0.61, 0.9360472714458189
0.62, 0.9372021965638507
0.63, 0.9383149019865779
0.64, 0.9393881938688512
0.65, 0.9404247193847064
0.66, 0.9414269723315103
0.67, 0.9423972987100087
0.68, 0.9433379022676637
0.69, 0.9442508499895169
0.7, 0.9451380775203869
0.71, 0.9460013945018231
0.72, 0.9468424898070157
0.73, 0.947662936658267
0.74, 0.9484641976124234
0.75, 0.9492476294016895
0.76, 0.9500144876190758
0.77, 0.9507659312393728
0.78, 0.9515030269691384
0.79, 0.9522267534209405
0.8, 0.952938005109389
0.81, 0.9536375962684088
0.82, 0.9543262644910404
0.83, 0.955004674194773
0.84, 0.9556734199175226
0.85, 0.956333029449977
0.86, 0.956983966812001
0.87, 0.9576266350816345
0.88, 0.9582613790862553
0.89, 0.9588884879660191
0.9, 0.9595081976207516
0.91, 0.9601206930515377
0.92, 0.9607261106088482
0.93, 0.9613245401587587
0.94, 0.9619160271798608
0.95, 0.9625005748019655
0.96, 0.9630781457987836
0.97, 0.9636486645454051
0.98, 0.9642120189521929
0.99, 0.9647680623840331
1.0, 0.9653166155760469
1.01, 0.9658574685533481
1.02, 0.9663903825632154
1.03, 0.9669150920265145
1.04, 0.967431306514122
1.05, 0.9679387127527946
1.06, 0.9684369766640282
1.07, 0.968925745437669
1.08, 0.9694046496409829
1.09, 0.9698733053622951
1.1, 0.9703313163869115
1.11, 0.970778276401439
1.12, 0.9712137712212693
1.13, 0.9716373810347435
1.14, 0.9720486826554702
1.15, 0.9724472517739179
1.16, 0.9728326651974243
1.17, 0.9732045030670629
1.18, 0.9735623510389858
1.19, 0.9739058024165884
1.2, 0.9742344602202909
1.21, 0.9745479391801366
1.22, 0.9748458676374607
1.23, 0.9751278893412451
1.24, 0.9753936651254201
1.25, 0.9756428744540868
1.26, 0.9758752168220871
1.27, 0.9760904129998745
1.28, 0.9762882061124808
1.29, 0.9764683625440816
1.3, 0.9766306726610269
1.31, 0.9767749513481924
1.32, 0.9769010383552513
1.33, 0.9770087984510979
1.34, 0.9770981213869226
1.35, 0.977168921670444
1.36, 0.9772211381550595
1.37, 0.9772547334502801
1.38, 0.9772696931610423
1.39, 0.97726602496515
1.4, 0.9772437575396481
1.41, 0.9772029393479403
1.42, 0.9771436373009215
1.43, 0.9770659353056762
1.44, 0.9769699327162796
1.45, 0.9768557427015588
1.46, 0.9767234905448456
1.47, 0.9765733118904043
1.48, 0.9764053509512962
1.49, 0.976219758692928
1.5, 0.9760166910053243
1.51, 0.9757963068771222
1.52, 0.9755587665825235
1.53, 0.9753042298916331
1.54, 0.9750328543134004
1.55, 0.974744793378586
1.56, 0.9744401949693383
1.57, 0.9741191996996656
1.58, 0.9737819393502842
1.59, 0.9734285353592637
1.6, 0.9730590973684079
1.61, 0.9726737218236474
1.62, 0.9722724906264547
1.63, 0.971855469831191
1.64, 0.9714227083823158
1.65, 0.9709742368834282
1.66, 0.9705100663887064
1.67, 0.9700301872062187
1.68, 0.9695345677002875
1.69, 0.9690231530791592
1.7, 0.9684958641527489
1.71, 0.967952596042708
1.72, 0.967393216826769
1.73, 0.9668175660956245
1.74, 0.9662254534004032
1.75, 0.9656166565650606
1.76, 0.964990919836046
1.77, 0.964347951838824
1.78, 0.9636874233070087
1.79, 0.9630089645462753
1.8, 0.9623121625906694
1.81, 0.961596558003569
1.82, 0.9608616412692195
1.83, 0.9601068487140795
1.84, 0.9593315578874217
1.85, 0.9585350823217684
1.86, 0.9577166655805924
1.87, 0.9568754744864338
1.88, 0.9560105914057225
1.89, 0.955121005445236
1.9, 0.9542056023905171
1.91, 0.9532631531863693
1.92, 0.9522923007236069
1.93, 0.9512915446515327
1.94, 0.9502592238828422
1.95, 0.9491934963921872
1.96, 0.9480923158299908
1.97, 0.9469534043755835
1.98, 0.9457742211343358
1.99, 0.9445519252352732
2.0, 0.798693984526445
2.01, -1.7621053345550224
2.02, -1.7736438093972733
2.03, -1.7840726327892884
2.04, -1.7935401934569528
2.05, -1.8021691703446243
2.06, -1.8100620532409475
2.07, -1.8173052755050512
2.08, -1.8239723520688809
2.09, -1.830126293133555
2.1, -1.8358214828356436
2.11, -1.8411051574888
2.12, -1.8460185805240523
2.13, -1.8505979851454133
2.14, -1.854875337264722
2.15, -1.8588789580637082
2.16, -1.8626340359448246
2.17, -1.866163050602311
2.18, -1.8694861267303708
2.19, -1.8726213309823572
2.2, -1.8755849228434778
2.21, -1.878391567831062
2.22, -1.8810545197065576
2.23, -1.8835857770455666
2.24, -1.8859962184668604
2.25, -1.8882957200026533
2.26, -1.8904932574425959
2.27, -1.8925969959707971
2.28, -1.894614369002003
2.29, -1.8965521477925935
2.3, -1.8984165031353384
2.31, -1.9002130602289244
2.32, -1.901946947637481
2.33, -1.903622841109903
2.34, -1.9052450029104684
2.35, -1.9068173172128597
2.36, -1.9083433220296468
2.37, -1.9098262380805884
2.38, -1.9112689949469661
2.39, -1.91267425481137
2.4, -1.9140444340429918
2.41, -1.9153817228542542
2.42, -1.916688103226143
2.43, -1.9179653652756745
2.44, -1.9192151222172804
2.45, -1.9204388240535046
2.46, -1.9216377701132965
2.47, -1.9228131205450925
2.48, -1.9239659068584916
2.49, -1.9250970416003184
2.5, -1.926207327240677
2.51, -1.9272974643388472
2.52, -1.9283680590507877
2.53, -1.929419630035888
2.54, -1.9304526148146053
2.55, -1.9314673756250893
2.56, -1.932464204822992
2.57, -1.9334433298646532
2.58, -1.9344049179127945
2.59, -1.935349080098747
2.6, -1.9362758754757154
2.61, -1.9371853146930802
2.62, -1.9380773634217578
2.63, -1.938951945557543
2.64, -1.9398089462288888
2.65, -1.940648214632914
2.66, -1.9414695667232411
2.67, -1.9422727877701018
2.68, -1.9430576348138413
2.69, -1.9438238390291038
2.7, -1.9445711080177037
2.71, -1.9452991280450296
2.72, -1.9460075662338718
2.73, -1.9466960727285072
2.74, -1.947364282838692
2.75, -1.9480118191735112
2.76, -1.9486382937714049
2.77, -1.9492433102321436
2.78, -1.9498264658542241
2.79, -1.9503873537796812
2.8, -1.9509255651459108
2.81, -1.951440691243473
2.82, -1.9519323256754448
2.83, -1.9524000665141874
2.84, -1.9528435184484982
2.85, -1.9532622949129497
2.86, -1.9536560201904902
2.87, -1.9540243314771188
2.88, -1.9543668808982255
2.89, -1.954683337463079
2.9, -1.9549733889458158
2.91, -1.95523674367882
2.92, -1.9554731322460301
2.93, -1.955682309062334
2.94, -1.9558640538266783
2.95, -1.956018172836646
2.96, -1.956144500152809
2.97, -1.956242898602942
2.98, -1.9563132606166918
2.99, -1.9563555088830267
3.0, -1.9563695968244084
